frequency
14
25
1163
181
372
949
934
854
218
206
324
498
96
288
20
306
64
59
13
64
26
25
13
22
49
25
115
216
36
39
178
77
45
286
121
174
38
43
28
23
14
35
174
67
26
86
31
105
62
22
16
16
14
12
13
12
24
42
17
36
28
24
13
28
44
11
12
25
23
51
18
12
22
50
27
14
13
12
13
13
18
14
12
13
12
13
13
15
12
12
12
13
14
13
13
14
12
13
12
13
20
13
16
20
26
12
27
11
11
11
