weight
41
34
68
91
9
235
48
54
69
18
17
72
9
111
35
24
138
8
140
193
5
7
6
76
64
44
72
6
59
18
6
6
73
37
6
20
7
18
7
28
48
69
23
23
6
100
14
19
11
9
9
35
5
6
20
28
8
11
27
9
19
13
6
93
20
15
15
16
15
5
7
18
18
10
6
9
14
12
26
6
32
23
9
45
10
19
6
5
12
33
7
6
15
11
17
14
22
10
8
15
12
7
6
18
6
7
19
7
28
6
8
5
7
22
8
15
5
7
17
10
6
6
5
5
5
7
5
7
5
5
23
5
11
7
6
15
10
6
8
8
6
5
5
6
6
6
7
5
5
6
11
5
6
6
5
5
6
8
6
5
5
5
