cluster
2
2
3
0
7
3
3
7
7
None
3
8
8
8
8
None
None
6
6
3
8
8
4
3
3
None
3
8
7
0
5
3
7
8
None
None
5
3
3
8
4
3
5
None
8
7
8
7
5
0
3
None
5
6
None
None
None
None
0
4
3
5
3
1
None
7
8
None
4
6
6
6
1
1
0
6
None
7
0
0
0
None
2
0
2
0
0
2
2
2
2
0
0
0
0
0
2
0
2
0
4
6
6
2
5
1
8
6
1
6
