occurrence
30
27
129
157
19
12
22
30
17
15
174
17
407
45
330
330
20
170
14
33
43
170
19
52
238
526
14
18
237
146
12
36
13
15
33
14
87
52
41
23
16
16
13
11
20
72
66
16
54
20
10
106
43
15
13
37
18
41
32
13
24
27
52
12
23
12
19
32
51
14
12
23
13
23
15
10
13
27
39
12
14
16
15
16
30
24
27
16
18
14
96
12
11
15
22
11
11
30
22
19
40
15
20
11
12
17
13
84
15
11
10
18
11
10
22
12
23
15
11
13
11
10
14
12
22
19
30
11
16
11
12
18
11
15
10
