occurrence
143
129
27
19
157
138
12
22
17
174
17
15
330
61
20
45
407
330
14
33
170
15
43
34
170
52
14
238
526
146
12
56
237
18
35
14
87
13
15
52
41
23
16
15
16
13
20
72
11
66
23
15
54
20
16
10
43
106
15
18
16
24
60
32
12
27
52
18
23
28
12
58
12
51
32
14
15
23
23
13
10
27
13
18
16
12
15
16
30
24
27
17
21
18
96
14
15
11
12
22
11
49
11
22
19
15
40
12
17
20
17
30
13
15
84
10
11
18
11
10
16
22
12
23
11
32
14
14
15
11
13
11
10
12
14
30
19
16
11
16
11
17
18
18
10
