cluster
8
3
1
9
1
3
7
3
9
10
10
7
3
3
0
3
3
3
3
3
3
3
1
1
8
1
7
8
8
7
4
1
8
4
3
None
8
8
8
7
3
6
0
0
0
None
None
None
2
3
1
None
1
1
1
10
10
10
0
3
1
1
1
5
5
5
7
5
3
3
3
1
5
9
5
5
2
2
2
2
9
3
1
8
5
7
5
8
3
1
3
6
6
10
7
7
0
0
0
4
3
1
None
0
6
9
10
7
10
1
7
6
5
7
7
5
None
7
9
3
3
2
3
4
6
9
9
0
7
None
None
None
7
4
4
7
1
3
5
8
0
2
5
8
6
